Temperature (K),B2V Hard-Sphere (m^3/mol),B2V Square-Well (m^3/mol),B2V Lennard-Jones (m^3/mol)
552.5252525252525,4.938475327929691e+25,2.1886648651253113e+25,1.1161879086956337e+25
559.5959595959596,4.938475327929691e+25,2.227135011217095e+25,1.1486375360101394e+25
566.6666666666667,4.938475327929691e+25,2.2645469448413606e+25,1.1801423347948086e+25
573.7373737373737,4.938475327929691e+25,2.300943616348446e+25,1.2107400630062397e+25
580.8080808080808,4.938475327929691e+25,2.336365688495318e+25,1.2404665261356617e+25
587.8787878787879,4.938475327929691e+25,2.370851686408e+25,1.2693557010586238e+25
594.9494949494949,4.938475327929691e+25,2.404438135923314e+25,1.2974398506002717e+25
602.0202020202021,4.938475327929691e+25,2.4371596913452526e+25,1.324749629617289e+25
609.0909090909091,4.938475327929691e+25,2.469049253547335e+25,1.3513141833192175e+25
616.1616161616162,4.938475327929691e+25,2.500138079259946e+25,1.3771612384827967e+25
623.2323232323232,4.938475327929691e+25,2.5304558822995393e+25,1.4023171881504707e+25
630.3030303030304,4.938475327929691e+25,2.5600309274232818e+25,1.4268071703490413e+25
637.3737373737374,4.938475327929691e+25,2.5888901174273374e+25,1.450655141314498e+25
644.4444444444445,4.938475327929691e+25,2.6170590740486357e+25,1.4738839436644877e+25
651.5151515151515,4.938475327929691e+25,2.6445622131774957e+25,1.4965153699199272e+25
658.5858585858587,4.938475327929691e+25,2.671422814841794e+25,1.5185702217411681e+25
665.6565656565657,4.938475327929691e+25,2.6976630883811502e+25,1.5400683652116597e+25
672.7272727272727,4.938475327929691e+25,2.72330423319188e+25,1.5610287824730246e+25
679.7979797979798,4.938475327929691e+25,2.748366495389413e+25,1.5814696199888152e+25
686.8686868686868,4.938475327929691e+25,2.772869220704279e+25,1.6014082336906794e+25
693.939393939394,4.938475327929691e+25,2.7968309039001315e+25,1.6208612312388755e+25
701.010101010101,4.938475327929691e+25,2.820269234977299e+25,1.6398445116097488e+25
708.0808080808081,4.938475327929691e+25,2.843201142402863e+25,1.6583733022049622e+25
715.1515151515151,4.938475327929691e+25,2.865642833587844e+25,1.6764621936613072e+25
722.2222222222223,4.938475327929691e+25,2.8876098328135572e+25,1.6941251725253265e+25
729.2929292929293,4.938475327929691e+25,2.9091170167925248e+25,1.7113756519436814e+25
736.3636363636364,4.938475327929691e+25,2.930178648034009e+25,1.728226500508226e+25
