Temperature (K),U Isolated (J),U SOC (J),U SOC & CFS (J),F Isolated (J),F SOC (J),F SOC & CFS (J),S Isolated (J/K),S SOC (J/K),S SOC & CFS (J/K)
540.4040404040404,-0.0,-1.460661980918549e-22,-3.083197562930096e-21,-1.9690225724703514e-20,-1.3392774847057241e-20,-1.1919753972168e-20,3.6436118630759776e-23,2.505372655143404e-23,2.7762319134618185e-23
557.5757575757576,-0.0,-1.7562253050913356e-22,-3.2731332741788806e-21,-2.0315896448666056e-20,-1.3823431846254563e-20,-1.2399511650301673e-20,3.6436118630759776e-23,2.5107567286544715e-23,2.81081962196908e-23
574.7474747474748,-0.0,-2.088281449891736e-22,-3.4609414991003346e-21,-2.09415671726286e-20,-1.4255054935686052e-20,-1.2885085963551323e-20,3.643611863075968e-23,2.5166218928168064e-23,2.843983724312265e-23
591.9191919191919,-0.0,-2.458042019598574e-22,-3.6462257451306896e-21,-2.156723789659114e-20,-1.4687726233686598e-20,-1.3376233333398816e-20,3.643611863075987e-23,2.5229605883322762e-23,2.875740006404487e-23
609.0909090909091,-0.0,-2.8664744752012943e-22,-3.828657094159776e-21,-2.219290862055368e-20,-1.512152624885067e-20,-1.387271384453872e-20,3.6436118630759776e-23,2.5297618417224577e-23,2.906114146691089e-23
626.2626262626263,-0.0,-3.314305440502341e-22,-4.007967239094259e-21,-2.2818579344516224e-20,-1.5556533330843808e-20,-1.4374292737312928e-20,3.643611863075959e-23,2.537011698223343e-23,2.9351394911310013e-23
643.4343434343434,-0.0,-3.8020274913974296e-22,-4.183941762050611e-21,-2.344425006847876e-20,-1.5992823195715254e-20,-1.4880741548563507e-20,3.6436118630759776e-23,2.5446936509823825e-23,2.9628551667005933e-23
660.6060606060606,-0.0,-4.329908748854639e-22,-4.356413778811558e-21,-2.4069920792441304e-20,-1.6430468524110478e-20,-1.5391838956179795e-20,3.6436118630759776e-23,2.5527890567343944e-23,2.989304499097875e-23
677.7777777777778,-0.0,-4.898004654787196e-22,-4.525258026202067e-21,-2.4695591516403846e-20,-1.686953862934121e-20,-1.5907371376536516e-20,3.6436118630759776e-23,2.561277530771903e-23,3.014533699320894e-23
694.9494949494949,-0.0,-5.506171375308588e-22,-4.690385432749607e-21,-2.5321262240366386e-20,-1.7310099191244262e-20,-1.642713335796677e-20,3.643611863075987e-23,2.570137316230893e-23,3.0385907846905334e-23
712.1212121212121,-0.0,-6.154080343217547e-22,-4.85173818627623e-21,-2.594693296432893e-20,-1.7752212051077067e-20,-1.6950927807642354e-20,3.6436118630759776e-23,2.5793456245200758e-23,3.061524701968612e-23
729.2929292929293,-0.0,-6.841233517848131e-22,-5.009285293008077e-21,-2.657260368829147e-20,-1.8195935062291563e-20,-1.7478566083895385e-20,3.643611863075968e-23,2.5888789451675936e-23,3.0833846229679845e-23
746.4646464646464,-0.0,-7.566979003437987e-22,-5.163018609718948e-21,-2.719827441225401e-20,-1.8641321991841695e-20,-1.8009867981186915e-20,3.643611863075968e-23,2.5987133244941013e-23,3.104219386097397e-23
